filename,file_size_bytes,file_size_mb,width,height,depth,num_vertices,num_faces,volume,surface_area,size_category,aspect_ratio
3DModel5095066.stl,1062284,1.013,45.346,69.64,114.1,10624,21244,27368.25,7553.866,Medium (1-2MB),0.6511487650775416
3DModel717649.stl,1795884,1.713,37.298,65.894,179.761,17942,35916,74126.239,14840.898,Medium (1-2MB),0.5660302910735423
3DModel1038604.stl,1502684,1.433,51.861,75.716,179.871,15028,30052,71217.121,14149.258,Medium (1-2MB),0.6849410956733055
3DModel722186.stl,1916284,1.828,66.115,107.367,138.717,19154,38324,92075.67,16186.826,Medium (1-2MB),0.6157851108813694
3DModel1171276.stl,1811484,1.728,57.004,110.707,176.775,18108,36228,105950.701,18218.181,Medium (1-2MB),0.5149087230256443
3DModel1625983.stl,2351284,2.242,47.32,65.291,174.776,23420,47024,95855.672,18878.115,Large (2-3MB),0.7247553261552129
3DModel501533.stl,2763284,2.635,49.339,85.437,208.115,27606,55264,110031.564,20039.295,Large (2-3MB),0.5774898463195103
3DModel103861.stl,2919484,2.784,62.659,129.436,176.233,29194,58388,147779.978,22490.278,Large (2-3MB),0.48409252449086804
3DModel648988.stl,2538684,2.421,58.959,105.462,161.244,25386,50772,134475.905,21570.556,Large (2-3MB),0.5590544461512204
3DModel175453.stl,2101084,2.004,54.852,82.102,194.975,20926,42020,126857.68,24816.355,Large (2-3MB),0.6680957832939514
3DModel822993.stl,969484,0.925,41.764,70.99,167.896,9694,19388,65154.887,13450.71,Small (<1MB),0.5883082124242852
3DModel1203537.stl,806284,0.769,23.586,51.316,112.463,8064,16124,25766.447,6578.879,Small (<1MB),0.4596227297529035
3DModel197142.stl,930084,0.887,36.253,74.476,137.693,9302,18600,69286.276,12611.836,Small (<1MB),0.4867742628497771
3DModel1185905.stl,953884,0.91,36.959,72.406,126.135,9532,19076,51656.272,10892.017,Small (<1MB),0.5104411236637848
3DModel5136679.stl,856284,0.817,37.592,71.357,182.631,8564,17124,63029.514,13292.257,Small (<1MB),0.5268158695012403
3DModel1673078.stl,3223284,3.074,72.395,96.541,204.996,32218,64464,157515.097,28605.167,XLarge (>3MB),0.7498886483462984
3DModel924218.stl,3300084,3.147,50.072,100.186,216.351,32838,66000,108327.004,21702.533,XLarge (>3MB),0.4997903898748328
3DModel1679377.stl,3530284,3.367,86.588,149.105,187.308,35294,70604,123758.612,23482.792,XLarge (>3MB),0.5807182857717715
3DModel107908.stl,3537684,3.374,70.089,121.447,228.279,35320,70752,186611.092,31981.901,XLarge (>3MB),0.5771159435803273
3DModel872531.stl,3624084,3.456,92.708,116.812,225.726,36224,72480,223124.09,32683.407,XLarge (>3MB),0.7936513371913845
