filename,size_label,complexity_label,volume_label,cluster_label
3DModel5095066.stl,0,0,0,1
3DModel717649.stl,0,0,0,1
3DModel1038604.stl,0,0,0,1
3DModel722186.stl,0,0,0,1
3DModel1171276.stl,0,0,1,1
3DModel1625983.stl,1,1,0,0
3DModel501533.stl,1,1,1,0
3DModel103861.stl,1,1,1,0
3DModel648988.stl,1,1,1,0
3DModel175453.stl,1,1,1,0
3DModel822993.stl,0,0,0,1
3DModel1203537.stl,0,0,0,1
3DModel197142.stl,0,0,0,1
3DModel1185905.stl,0,0,0,1
3DModel5136679.stl,0,0,0,1
3DModel1673078.stl,1,1,1,0
3DModel924218.stl,1,1,1,0
3DModel1679377.stl,1,1,1,0
3DModel107908.stl,1,1,1,0
3DModel872531.stl,1,1,1,0
