filename,file_size_bytes,file_size_mb,width,height,depth,num_vertices,num_faces,volume,surface_area,size_category,aspect_ratio
3DModel1038604.stl,1502684,1.433,51.861,75.716,179.871,15028,30052,71217.121,14149.258,Medium (1-2MB),0.6849410956733055
3DModel103861.stl,2919484,2.784,62.659,129.436,176.233,29194,58388,147779.978,22490.278,Large (2-3MB),0.48409252449086804
3DModel104343.stl,2632284,2.51,52.925,105.227,179.469,26296,52644,106335.699,23073.403,Large (2-3MB),0.5029602668516635
3DModel1059213.stl,2885884,2.752,66.286,112.324,202.476,28858,57716,157157.767,24657.898,Large (2-3MB),0.5901321178020726
3DModel1061940.stl,1703684,1.625,56.296,92.896,161.237,17036,34072,86966.108,16473.998,Medium (1-2MB),0.6060110230795729
3DModel107908.stl,3537684,3.374,70.089,121.447,228.279,35320,70752,186611.092,31981.901,XLarge (>3MB),0.5771159435803273
3DModel1091868.stl,2317284,2.21,41.458,76.45,190.843,23144,46344,114780.509,19736.714,Large (2-3MB),0.5422890778286461
3DModel109959.stl,1649284,1.573,47.251,95.583,169.732,16486,32984,83399.151,16181.881,Medium (1-2MB),0.4943452287540671
3DModel1118393.stl,1334284,1.272,47.321,79.235,130.388,13344,26684,67195.083,13238.419,Medium (1-2MB),0.5972234492332933
3DModel1136267.stl,2143284,2.044,50.816,105.181,164.959,21420,42864,88172.68,17022.925,Large (2-3MB),0.48312908224869516
3DModel1164337.stl,1868884,1.782,50.199,102.057,158.794,18668,37376,72566.818,15232.957,Medium (1-2MB),0.4918721890708133
3DModel1171276.stl,1811484,1.728,57.004,110.707,176.775,18108,36228,105950.701,18218.181,Medium (1-2MB),0.5149087230256443
3DModel1185905.stl,953884,0.91,36.959,72.406,126.135,9532,19076,51656.272,10892.017,Small (<1MB),0.5104411236637848
3DModel1200405.stl,1951884,1.861,52.494,90.486,144.966,19520,39036,64667.128,13557.227,Medium (1-2MB),0.5801339433724554
3DModel1201034.stl,1150884,1.098,33.065,62.101,154.885,11508,23016,50118.064,11232.692,Medium (1-2MB),0.5324390911579523
3DModel1203537.stl,806284,0.769,23.586,51.316,112.463,8064,16124,25766.447,6578.879,Small (<1MB),0.4596227297529035
3DModel1230607.stl,1478284,1.41,55.23,94.374,131.235,14776,29564,67982.363,13949.744,Medium (1-2MB),0.5852247441032488
3DModel1269161.stl,1511084,1.441,37.474,75.398,168.666,15112,30220,75192.684,14582.115,Medium (1-2MB),0.49701583596381865
3DModel1309409.stl,2497084,2.381,54.693,87.0,182.251,24858,49940,111323.467,22504.256,Large (2-3MB),0.6286551724137931
3DModel1312713.stl,1787484,1.705,53.932,108.905,211.047,17864,35748,106224.838,19664.047,Medium (1-2MB),0.4952206051145494
3DModel1314142.stl,2586084,2.466,63.664,86.098,224.138,25846,51720,121290.431,21855.8,Large (2-3MB),0.7394364561313852
3DModel1336819 copy.stl,847484,0.808,37.581,75.89,119.879,8476,16948,43070.181,9397.377,Small (<1MB),0.49520358413493215
3DModel1336819.stl,1090484,1.04,41.987,78.617,172.379,10904,21808,62105.391,13352.243,Medium (1-2MB),0.5340702392612284
3DModel1336911.stl,1832684,1.748,77.891,122.27,169.973,18320,36652,127026.887,20868.914,Medium (1-2MB),0.6370409748916334
3DModel1346134.stl,1105484,1.054,43.632,69.888,131.208,11042,22108,58210.13,11703.614,Medium (1-2MB),0.6243131868131867
3DModel1349130.stl,1813884,1.73,34.579,56.352,82.286,18134,36276,28225.656,6869.379,Medium (1-2MB),0.6136250709823964
3DModel135376.stl,886884,0.846,32.3,62.301,136.232,8860,17736,58248.229,11419.739,Small (<1MB),0.518450747179018
3DModel1354849.stl,1553484,1.482,33.684,56.016,64.837,15534,31068,20929.678,5176.148,Medium (1-2MB),0.6013281919451585
3DModel1375066.stl,1377884,1.314,38.47,95.069,118.003,13780,27556,52992.423,11860.187,Medium (1-2MB),0.40465346222217546
3DModel138547.stl,2021884,1.928,53.897,87.637,198.724,20218,40436,128751.057,21334.432,Medium (1-2MB),0.6150027956228533
3DModel1413000.stl,1857884,1.772,45.755,83.481,194.988,18568,37156,81131.204,17082.979,Medium (1-2MB),0.5480887866700208
3DModel1419217.stl,1709484,1.63,43.058,80.964,174.403,17088,34188,91161.699,16484.773,Medium (1-2MB),0.531816609851292
3DModel146862.stl,2024484,1.931,42.205,99.319,122.488,20226,40488,90665.799,15270.14,Medium (1-2MB),0.42494386773930465
3DModel1531358.stl,2440284,2.327,52.76,115.691,234.682,24406,48804,127689.391,22528.626,Large (2-3MB),0.45604238877700076
