filename,size_label,complexity_label,volume_label,cluster_label
3DModel1038604.stl,0,0,0,0
3DModel103861.stl,1,1,1,1
3DModel104343.stl,1,1,1,1
3DModel1059213.stl,1,1,1,1
3DModel1061940.stl,0,0,0,0
3DModel1091868.stl,1,1,1,1
3DModel109959.stl,0,0,0,0
3DModel1118393.stl,0,0,0,0
3DModel1136267.stl,1,1,1,1
3DModel1164337.stl,1,1,0,0
3DModel1171276.stl,0,0,1,0
3DModel1200405.stl,1,1,0,0
3DModel1230607.stl,0,0,0,0
3DModel1269161.stl,0,0,0,0
3DModel1309409.stl,1,1,1,1
3DModel1312713.stl,0,0,1,0
3DModel1314142.stl,1,1,1,1
3DModel1336911.stl,0,0,1,1
3DModel1349130.stl,0,0,0,0
3DModel1354849.stl,0,0,0,0
3DModel1375066.stl,0,0,0,0
3DModel138547.stl,1,1,1,1
3DModel1413000.stl,0,0,0,0
3DModel1419217.stl,0,0,1,0
3DModel146862.stl,1,1,1,0
3DModel1531358.stl,1,1,1,1
3DModel1535286.stl,0,0,0,0
3DModel1619851 copy.stl,0,0,0,0
3DModel1619851.stl,0,0,1,0
3DModel1625983.stl,1,1,1,1
3DModel1633455.stl,0,0,0,0
3DModel1648569.stl,1,1,1,1
3DModel1656300.stl,1,1,1,1
3DModel1749388.stl,1,1,0,0
3DModel1752410.stl,1,1,1,1
3DModel175453.stl,1,1,1,1
3DModel1831664.stl,1,1,1,1
3DModel1848987.stl,0,0,0,0
3DModel1957386.stl,1,1,1,1
3DModel1960559.stl,0,0,0,0
3DModel1990173.stl,0,0,0,0
3DModel216233.stl,1,1,1,1
3DModel231355.stl,0,0,0,0
3DModel248186.stl,1,1,0,0
3DModel258277.stl,1,1,0,1
3DModel268731.stl,0,0,0,0
3DModel324634.stl,1,1,0,0
3DModel349189 .stl,1,1,0,0
3DModel377845.stl,0,0,0,0
3DModel392456.stl,0,0,0,0
3DModel408978.stl,0,0,0,0
3DModel418748.stl,0,0,0,0
3DModel432325.stl,0,0,0,0
3DModel433531.stl,1,1,1,1
3DModel468290.stl,1,1,1,1
3DModel483916.stl,0,0,1,0
3DModel491640.stl,0,0,0,0
3DModel501533.stl,1,1,1,1
3DModel5042484.stl,1,1,1,1
3DModel505628.stl,0,0,1,0
3DModel5120238.stl,1,1,1,1
3DModel5159034.stl,0,0,1,0
3DModel524913.stl,0,0,0,0
3DModel553337.stl,0,0,0,0
3DModel648988.stl,1,1,1,1
3DModel665166.stl,1,1,1,1
3DModel697442.stl,0,0,0,0
3DModel698129.stl,0,0,0,0
3DModel717649.stl,0,0,0,0
3DModel722186.stl,1,1,1,0
3DModel774886.stl,1,1,1,0
3DModel801775.stl,1,1,1,1
3DModel825149.stl,1,1,0,0
3DModel838552.stl,0,0,0,0
3DModel845764.stl,1,1,0,1
3DModel847489.stl,0,0,1,0
3DModel934455.stl,1,1,1,1
